Distribution,NumClust,PointsCluster,Iterations per Noise
n,5,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.256,0.75,0.5795,0.6395,1.0,1.0,0.9985,0.797,0.752,0.0175
0.1,0.75,0.75,0.2535,0.75,0.5725,0.637,1.0,1.0,0.9975,0.79,0.741,0.0135
0.2,0.7495,0.7495,0.2555,0.7495,0.577,0.627,1.0,1.0,0.999,0.7905,0.7395,0.0165
0.3,0.75,0.75,0.255,0.75,0.565,0.628,1.0,1.0,0.998,0.7785,0.7455,0.0125
0.4,0.75,0.75,0.2565,0.75,0.5655,0.6345,1.0,1.0,0.996,0.7795,0.7315,0.0175
0.5,0.7445,0.7445,0.2555,0.747,0.5575,0.6255,1.0,1.0,0.9945,0.776,0.726,0.015
0.6,0.7385,0.7385,0.256,0.7465,0.561,0.626,1.0,1.0,0.996,0.783,0.7405,0.0135
0.7,0.7285,0.7285,0.2525,0.742,0.555,0.622,1.0,1.0,0.992,0.766,0.724,0.013
0.8,0.697,0.697,0.2545,0.728,0.56,0.616,1.0,1.0,0.9935,0.771,0.7115,0.0125
0.9,0.6815,0.6815,0.257,0.7175,0.556,0.6205,1.0,1.0,0.9865,0.7685,0.725,0.0195
1.0,0.6715,0.6715,0.255,0.7075,0.566,0.6145,1.0,1.0,0.9905,0.77,0.72,0.012

Time
0,23,21,113,93,96,33,151,212,398,248,506,503,
