Distribution,NumClust,PointsCluster,Iterations per Noise
c,5,1000000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.264,0.264,0.25,0.7495,0.6225,0.287,0.7895,0.7895,0.993,0.698,0.8795,0.05
0.1,0.2765,0.2765,0.25,0.7495,0.63,0.295,0.7885,0.7885,0.9935,0.697,0.867,0.05
0.2,0.273,0.273,0.25,0.75,0.626,0.2965,0.775,0.775,0.994,0.686,0.87,0.05
0.3,0.277,0.277,0.25,0.75,0.6195,0.3015,0.777,0.777,0.992,0.6925,0.8785,0.05
0.4,0.2735,0.2735,0.25,0.75,0.6275,0.3,0.783,0.783,0.9875,0.6925,0.8805,0.05
0.5,0.2735,0.2735,0.25,0.75,0.6355,0.2945,0.7755,0.7755,0.991,0.687,0.871,0.05
0.6,0.2705,0.2705,0.25,0.75,0.6365,0.2955,0.7805,0.7805,0.994,0.6905,0.876,0.05
0.7,0.2765,0.2765,0.25,0.7495,0.621,0.2965,0.784,0.784,0.988,0.6945,0.8745,0.05
0.8,0.273,0.273,0.25,0.75,0.6305,0.2955,0.783,0.783,0.9905,0.693,0.886,0.05
0.9,0.274,0.274,0.25,0.7495,0.636,0.301,0.774,0.774,0.988,0.687,0.859,0.05
1.0,0.276,0.276,0.25,0.7495,0.6265,0.2885,0.781,0.781,0.992,0.693,0.864,0.05

Time
0,737917,733444,1984095,1410799,1585381,935255,4503897,5745599,7905720,6098319,8971489,11503527,
