Distribution,NumClust,PointsCluster,Iterations per Noise
n,15,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.6028333333333333,0.7071666666666667,1.0,1.0,1.0,0.9166666666666666,0.8465,0.0
0.1,0.75,0.75,0.25,0.75,0.61,0.7083333333333334,1.0,1.0,1.0,0.9166666666666666,0.8526666666666667,0.0
0.2,0.75,0.75,0.25,0.75,0.6086666666666667,0.7076666666666667,1.0,1.0,1.0,0.9166666666666666,0.8516666666666667,0.0
0.3,0.75,0.75,0.25,0.75,0.6025,0.7086666666666667,1.0,1.0,1.0,0.9166666666666666,0.8423333333333334,0.0
0.4,0.75,0.75,0.25,0.75,0.6008333333333333,0.7065,1.0,1.0,1.0,0.9166666666666666,0.8118333333333333,0.0
0.5,0.75,0.75,0.25,0.75,0.6051666666666666,0.7093333333333334,1.0,1.0,1.0,0.9166666666666666,0.8311666666666667,0.0
0.6,0.75,0.75,0.25,0.75,0.6031666666666666,0.709,1.0,1.0,1.0,0.9166666666666666,0.8298333333333333,0.0
0.7,0.75,0.75,0.25,0.75,0.5973333333333334,0.7076666666666667,1.0,1.0,1.0,0.9166666666666666,0.8373333333333334,0.0
0.8,0.75,0.75,0.25,0.75,0.6,0.7065,1.0,1.0,1.0,0.9156666666666666,0.8103333333333333,0.0
0.9,0.75,0.75,0.25,0.75,0.5968333333333333,0.703,1.0,1.0,1.0,0.9116666666666666,0.8363333333333334,0.0
1.0,0.75,0.75,0.25,0.75,0.595,0.7013333333333334,1.0,1.0,1.0,0.9076666666666666,0.8378333333333333,0.0

Time
0,234286,231769,657264,454713,517110,303816,3784530,4122044,7026534,4984705,8066679,10412374,
