Distribution,NumClust,PointsCluster,Iterations per Noise
u,10,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.60875,0.7425,1.0,1.0,1.0,0.9605,0.8635,0.2
0.1,0.75,0.75,0.25,0.75,0.60975,0.74475,1.0,1.0,1.0,0.94875,0.84325,0.2
0.2,0.75,0.75,0.25,0.75,0.61025,0.74375,1.0,1.0,1.0,0.93825,0.84925,0.2
0.3,0.75,0.75,0.25,0.75,0.6135,0.744,1.0,1.0,1.0,0.94075,0.8505,0.2
0.4,0.75,0.75,0.25,0.75,0.606,0.7445,1.0,1.0,1.0,0.93925,0.8525,0.2
0.5,0.75,0.75,0.25,0.75,0.62125,0.74225,1.0,1.0,1.0,0.94025,0.8555,0.2
0.6,0.75,0.75,0.25,0.75,0.6055,0.74275,1.0,1.0,1.0,0.936,0.8355,0.2
0.7,0.75,0.75,0.25,0.75,0.60925,0.74125,1.0,1.0,1.0,0.939,0.85975,0.2
0.8,0.75,0.75,0.25,0.75,0.60925,0.7425,1.0,1.0,1.0,0.93675,0.8405,0.2
0.9,0.75,0.75,0.25,0.75,0.616,0.74275,1.0,1.0,1.0,0.93575,0.8415,0.2
1.0,0.75,0.75,0.25,0.75,0.61,0.74275,1.0,1.0,1.0,0.93675,0.83875,0.2

Time
0,9670,7830,36864,21232,25384,12270,117980,129349,236698,154987,284489,400309,
